PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
General Inquiry,Technical Query..,Auto close by sub tt:10363285,Not available,Technical Query,Field Support,verified/mac disabled,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10363285 verified/mac disabled,general inquiry technical query.. technical query field support auto close sub tt:10363285 verified/mac disabled
General Inquiry,Technical Query..,Auto close by sub tt:10372371,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10372371 Not available,general inquiry technical query.. technical query field support auto close sub tt:10372371 available
General Inquiry,Technical Query..,Auto close by sub tt:10352313,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10352313 Not available,general inquiry technical query.. technical query field support auto close sub tt:10352313 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10286458,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10286458 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10286458 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10267935,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10267935 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10267935 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10261640,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10261640 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10261640 available
No Internet Connection (FTTH),ONU online - ONU IP Issue..,Auto close by sub tt:10347280,Not available,ONU online - ONU IP Issue,Field Support,Not available,No Internet Connection (FTTH) ONU online - ONU IP Issue.. ONU online - ONU IP Issue Field Support Auto close by sub tt:10347280 Not available,internet connection (ftth) onu online - onu ip issue.. onu online - onu ip issue field support auto close sub tt:10347280 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10347840,Not available,Payment Query,Field Support,inform accordingly ,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10347840 inform accordingly ,account related issue payment query.. payment query field support auto close sub tt:10347840 inform accordingly
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10331397,Not available,Speed test fine. Slow experience on certain sites,Field Support,ping fine// range fine// suggested speed test// speed test fine// now working fine,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10331397 ping fine// range fine// suggested speed test// speed test fine// now working fine,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10331397 ping fine// range fine// suggested speed test// speed test fine// working fine
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10405256,Not available,Speed test fine. Slow experience on certain sites,Field Support,Refreshed done || range fine || internet,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10405256 Refreshed done || range fine || internet,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10405256 refreshed done || range fine || internet
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10323200,Not available,Query about Packages,Field Support,for new stb,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10323200 for new stb,account related issue query packages.. query package field support auto close sub tt:10323200 new stb
No Internet Connection (FTTH),OLT Down..,Auto close by sub tt:10370399,Not available,OLT Down,Field Support,Not available,No Internet Connection (FTTH) OLT Down.. OLT Down Field Support Auto close by sub tt:10370399 Not available,internet connection (ftth) olt down.. olt field support auto close sub tt:10370399 available
General Inquiry,Manage cable..,Auto close by sub tt:10237654,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10237654 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10237654 available
IPTV Related Issues,Authentication issue..,Auto close by sub tt:10292570,Not available,Authentication issue,Field Support,Not available,IPTV Related Issues Authentication issue.. Authentication issue Field Support Auto close by sub tt:10292570 Not available,iptv related issue authentication issue.. authentication issue field support auto close sub tt:10292570 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10298859,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10298859 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10298859 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10267493,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10267493 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10267493 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10251010,Not available,Payment Query,Field Support,Not available,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10251010 Not available,account related issue payment query.. payment query field support auto close sub tt:10251010 available
