PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
Slow Internet Connection (FTTH),High Latency seen in single de..,Auto close by sub tt:10424841,Not available,High Latency seen in single device with good RSSI,Field Support,needytroubleshoot done now working fine,Slow Internet Connection (FTTH) High Latency seen in single de.. High Latency seen in single device with good RSSI Field Support Auto close by sub tt:10424841 needytroubleshoot done now working fine,slow internet connection (ftth) high latency seen single de.. high latency seen single device good rssi field support auto close sub tt:10424841 needytroubleshoot done working fine
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10273347,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10273347 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10273347 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10369165,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10369165 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10369165 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10307634,Not available,Query about Wi-fi SSID/password,Field Support,Not available,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10307634 Not available,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10307634 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10373257,Not available,Query about Wi-fi SSID/password,Field Support,verified // password informed ,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10373257 verified // password informed ,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10373257 verified // password informed
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10291816,Not available,Query about Wi-fi SSID/password,Field Support,called from registered number// wlan and ssid broadcast was disable // enabled it// informed current password too// now fine//,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10291816 called from registered number// wlan and ssid broadcast was disable // enabled it// informed current password too// now fine//,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10291816 called registered number// wlan ssid broadcast disable // enabled it// informed current password too// fine//
General Inquiry,Client wants to upgrade to Bea..,Auto close by sub tt:10341477,Not available,Client wants to upgrade to Beacon-Photon Lite,Field Support,Not available,General Inquiry Client wants to upgrade to Bea.. Client wants to upgrade to Beacon-Photon Lite Field Support Auto close by sub tt:10341477 Not available,general inquiry client want upgrade bea.. client want upgrade beacon-photon lite field support auto close sub tt:10341477 available
IPTV Related Issues,NET TV mobile app related..,Auto close by sub tt:10293749,Not available,NET TV mobile app related,Field Support,Not available,IPTV Related Issues NET TV mobile app related.. NET TV mobile app related Field Support Auto close by sub tt:10293749 Not available,iptv related issue net tv mobile app related.. net tv mobile app related field support auto close sub tt:10293749 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10307141,Not available,Disconnection problem,Field Support,Not available,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10307141 Not available,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10307141 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10140523,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10140523 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10140523 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10221448,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10221448 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10221448 available
IPTV Related Issues,Error Code 1598:No internet co..,Auto close by sub tt:10241435,Not available,Error Code 1598:No internet connection,Field Support,call dc,IPTV Related Issues Error Code 1598:No internet co.. Error Code 1598:No internet connection Field Support Auto close by sub tt:10241435 call dc,iptv related issue error code 1598:no internet co.. error code 1598:no internet connection field support auto close sub tt:10241435 call dc
IPTV Related Issues,NetTV bonus not added after pa..,Auto close by sub tt:10356142,Not available,NetTV bonus not added after payment,Field Support,suggested client to pay for the nettv package,IPTV Related Issues NetTV bonus not added after pa.. NetTV bonus not added after payment Field Support Auto close by sub tt:10356142 suggested client to pay for the nettv package,iptv related issue nettv bonus added pa.. nettv bonus added payment field support auto close sub tt:10356142 suggested client pay nettv package
